COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName,
Laos,"17 58 N, 102 36 E","18 00 N, 105 00 E","17.966666666666665, 102.6","18.0, 105.0",253.9353383,157.7881594,-2.4,-0.03333,Asia,Vientiane,
Latvia,"56 57 N, 24 06 E","57 00 N, 25 00 E","56.95, 24.1","57.0, 25.0",54.84104495,34.07665746,-0.9,-0.05,Europe,Riga,
Lebanon,"33 52 N, 35 30 E","33 50 N, 35 50 E","33.86666666666667, 35.5","33.833333333333336, 35.833333333333336",31.01447836,19.27151017,-0.33333,0.03333,Asia,Beirut,
Lesotho,"29 19 S, 27 29 E","29 30 S, 28 30 E","-29.316666666666666, 27.483333333333334","-29.5, 28.5",100.6000536,62.50999722,-1.01667,0.18333,Africa,Maseru,
Liberia,"6 18 N, 10 48 W","6 30 N, 9 30 W","6.3, -10.8","6.5, -9.5",145.4092833,90.3531715,-1.3,-0.2,Africa,Monrovia,
Libya,"32 53 N, 13 10 E","25 00 N, 17 00 E","32.88333333333333, 13.166666666666666","25.0, 17.0",952.7224743,591.9945078,-3.83333,7.88333,Africa,Tripoli,
Liechtenstein,"47 08 N, 9 31 E","47 16 N, 9 32 E","47.13333333333333, 9.516666666666667","47.266666666666666, 9.533333333333333",14.88403592,9.248514394,-0.01667,-0.13333,Europe,Vaduz,
Lithuania,"54 41 N, 25 19 E","56 00 N, 24 00 E","54.68333333333333, 25.316666666666666","56.0, 24.0",168.470512,104.6827597,1.31667,-1.31667,Europe,Vilnius,
Luxembourg,"49 36 N, 6 07 E","49 45 N, 6 10 E","49.6, 6.116666666666666","49.75, 6.166666666666667",17.06822269,10.60570561,-0.05,-0.15,Europe,Luxembourg,
Madagascar,"18 55 S, 47 31 E","20 00 S, 47 00 E","-18.916666666666668, 47.516666666666666","-20.0, 47.0",132.1213268,82.0964152,0.51667,1.08333,Africa,Antananarivo,
Malawi,"13 58 S, 33 47 E","13 30 S, 34 00 E","-13.966666666666667, 33.78333333333333","-13.5, 34.0",56.94230142,35.38231816,-0.21667,-0.46667,Africa,Lilongwe,
Malaysia,"3 10 N, 101 42 E","2 30 N, 112 30 E","3.1666666666666665, 101.7","2.5, 112.5",1202.09183,746.9454963,-10.8,0.66667,Asia,Kuala Lumpur,
Maldives,"4 10 N, 73 30 E","3 15 N, 73 00 E","4.166666666666667, 73.5","3.25, 73.0",116.0861493,72.13261437,0.5,0.91667,Asia,Male,
Mali,"12 39 N, 8 00 W","17 00 N, 4 00 W","12.65, -8.0","17.0, -4.0",647.2956716,402.2110246,-4,-4.35,Africa,Bamako,
Malta,"35 53 N, 14 30 E","35 50 N, 14 35 E","35.88333333333333, 14.5","35.833333333333336, 14.583333333333334",9.346955864,5.80793115,-0.08333,0.05,Europe,Valletta,
